idea_name,description,general_benefits,region,submitted_estimate,service_line,category,original,actual_benefits_wc,actual_benefits_savings,expert_overview,expert_ease_implementation,expert_scalability,expert_crowd_validation,expert_weighted_avg,judge_overview,judge_ease_implementation,judge_scalability,judge_crowd_validation,judge_weighted_avg,chatgpt_distruption_overview,chatgpt_ease_implementation,chatgpt_scalability,chatgpt_benefits,chatgpt_rationale,finalist,winner
Free Cash Flow Sensitivity Simulator,"As company is likely to move from Cash Conversion Cycle to Free Cash Flow Conversion Objective next year, the purpose of this project is to design a &ldquo;real time&rdquo; sensitivity model to provide additional insights, early warnings and potential opportunities of the Free Cash Flow estimates, helping to drive better decisions from a cash generation stand point.","Real time sensitivity model to provide early warnings, capture opportunities, and assertive decisions driving cash generation",LAO,0,GBS OPS,Forecast Improvement,1,0,0,2,2,9,2,3,  ,  ,  ,  ,  ,3,4,4,4," This idea proposes to design a ""real time"" sensitivity model to provide additional insights, early warnings and potential opportunities of the Free Cash Flow estimates, helping to drive better decisions from a cash generation standpoint. The idea is not entirely new, but it presents a different and upgraded way to provide insights into cash generation. The ease of implementation is not high due to the need to design a sensitivity model, but it is still feasible. The idea is replicable in other geographies with similar cash generation processes. The benefits are qualitative. ",0,0
Reporting closed rebate deduction repayment dollar amounts,"Historically repaid trade disputes were rare and take 6 month or more to recoup. In the last few years trade disputes have increased in volume and dollars, causing us to realize we need to make changes  in our standard process to ensure all disputes are captured for cost savings.

These disputes include pricing changes, sku rollovers, PO changes, customer ERP changes, audits, etc.

This idea is specifically related to Trade Repayments, not our normal OS&amp;D dispute recoveries.

   ","By implementing changes identified in the attached process, we will capture 100% of repaid trade disputes analyzed and problem solved by CFS KCNA Promotional Team.

These changes will create more efficient reconciliation at month end and ability to identify potential incoming trade re-payments.

This idea is specifically related to Trade Repayments, not our normal OS&amp;D dispute recoveries.",NA,0,OTC,Sales Controlling,1,0,0,2,6,5,2,4,  ,  ,  ,  ,  ,2,4,4,4," This idea proposes to implement changes identified in the attached process to capture 100% of repaid trade disputes analyzed and problem solved by CFS KCNA Promotional Team. The idea is not entirely new, but it presents a different and upgraded way to capture trade disputes. The ease of implementation is not high due to the need to implement changes, but it is still feasible. The idea is replicable in other geographies with similar trade dispute processes. The benefits are qualitative. ",0,0
Improved Reporting for NA KCNA Cash Opportunities utilizing Receipt of Goods (ROG),"Most finalized agreements with KCNA customers calculate terms based on ""receipt of goods"" even though K-C calculates payment due on ""date of invoice"".  The difference of ROG vs DOI is ~ 3 days. 

Because ROG is not considered in reporting purposes, reported cash ""opportunities"" related to DSO, working capital, unearned cash discount, improved days to pay are often over-inflated.  

By utilizing reporting that includes a ROG ""buffer"", more than $50MM* of ""false"" opportunities could be removed. ","Teams across the organization frequently analyze opportunities to improve working capital, recoup unearned cash discount, improve days to pay, etc.  By providing reporting that includes a ""ROG buffer"", the data is more clear, simple and accurate. 

This will reduce the amount of rework, questions, explanations about cash opportunities when talking to Sales, Customer Finance, Legal and other internal customers. 

*$50M calculated using days 19-22 as ""ROG"" buffer for unearned cash discount.",NA,0,OTC,AR-Collections,1,0,0,5,2,4,4,4,  ,  ,  ,  ,  ,4,3,4,5," This idea is disruptive as it proposes a new way of reporting cash opportunities. It is not too complex to implement, but may require some changes in the reporting process. It is applicable globally. The benefits are both quantitative and qualitative, with an estimated $50MM in false opportunities that could be removed. ",0,0
AP PROJECT-EASY MONEY,"During routine GRIR maintenance, it was discovered that many goods receipts are being reversed and re-entered at a lower quantity AFTER the system has achieved a 3-way match and the vendor has received payment.  This issue resulted in more than $300,000 in overpayments to North America vendors during a 3 month period.  Given the high rate of mill turnover coupled with varied std work, AP will take ownership of the issue, find the reduced GR quantities and enter credit memos on vendor accounts.

Collecting overpayments when inventory is adjusted after the vendor has been paid",Better visibility to after-the-fact inventory adjustments coupled with an increased recovery of related overpayments,NA,1200000,PTP,AP-Accounts Payable,1,0,0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2,2,4,4," This idea is not very disruptive as it aims to solve an issue that has already been identified. It is not too complex to implement, but may require some changes in the AP process. It is applicable globally. The benefits are both quantitative and qualitative, with an estimated $300,000 in overpayments that could be recovered. ",0,0
LAO SCF Revamp Model,"To leverage SCF program across the region through a reinforced Standard Work providing monthly evolution visibility and detail at country/subregion level in both spend and # vendors while having monthly touchpoints with Citibank team assessing roadbloacks, incentivating the vendors&rsquo; enrollment, increasing terms on current negotiations with a more competitive rate in an uncertain economic environment. All of these aiming to improve FCF via Payables

 ","Increase SCF coverage across the region evidenced in a Payables maximization in a road of full potential results by also generating value to our vendors having the most competitive fees across the financial market at a country level. Additionally explore new solutions for an efficient financial vehicle in countries with lower financial presence (Bolivia, CA&amp;C) or under a difficult economic environment (Argentina). Cash benefit expressed in September YTD and more to come",LAO,3.9,PTP,AP-Payment Terms,1,2016379,918333,7,4,5,5,5,  ,  ,  ,  ,  ,4,3,4,5," This idea is disruptive as it proposes a new way of leveraging the SCF program across the region. It may require some changes in the standard work and negotiations with vendors. It is applicable globally. The benefits are both quantitative and qualitative, with an estimated $2,016,379 in cash benefit expressed in September YTD. ",0,0
LAO CAPEX FORECAST,"In order to manage the company&rsquo;s cash efficiently, Treasury requires an accurate forecast of Capex payments. Currently we lack of precise visibility on amounts and timing of payments, knowing these details we will have a better control of our cash.",Have a monthly actuals of Capex also with a forecast of nexts months.,LAO,0,GBS OPS,Forecast Improvement,1,0,0,5,1,10,2,4,  ,  ,  ,  ,  ,3,2,4,4," This idea is not very disruptive as it aims to improve the accuracy of Capex forecast. It is not too complex to implement, but may require some changes in the forecasting process. It is applicable globally. The benefits are quantitative, with a better control of cash. ",0,0
APAC Stock in transit and GRIR debit balance reclassification,"The stock in transit (mainly for foreign vendor) and debit GRIR balance (affiliates) which perform manual journal entry posting currently in SAP. It will be better that the posting extract from ACL report can be automate and direct interface into SAP. This enables speed up the processing time and improve the accuracy of the posting. In addition, this can bring value to the stakeholders to analyze CCC.

 ",Expectation on automation for SIT posting and bring value to stakeholder for decision making.  ,APAC,0,PTP,AP-Accounts Payable,1,0,0,2,6,7,3,4,  ,  ,  ,  ,  ,3,3,4,4," This idea is not very disruptive as it aims to automate a manual process. It is not too complex to implement, but may require some changes in the posting process. It is applicable globally. The benefits are both quantitative and qualitative, with an expectation on automation for SIT posting and bringing value to stakeholders for decision making. ",0,0
Loyalty Points,"Introduce Loyalty Points instead of cash discounts.

Loyalty Points can only be used by customers' after 6months time.

Bonus loyalty points will be given if customers' purchase new products launched.",Improve customers' relationships with this loyalty benefit.,APAC,0,OTC,AR-Collections,1,0,0,2,1,2,2,2,  ,  ,  ,  ,  ,4,5,5,3," This idea is quite disruptive as it introduces a new way of incentivizing customers. It is also easy to implement as it only requires setting up a loyalty points system. The idea is scalable globally. The benefits are mainly qualitative, improving customer relationships, but there are no quantitative benefits. ",0,0
Inventory Holding Strategy,"Proposal to review the inventory holding position by Mill.

To assess the possibility to reduce safety stock duration.

For example, to reduce the safety stock duration from 1month to 3weeks.","1. Reduce inventory holding level

2. Create more space in the warehouse

3. Reduce warehouse handling cost

4. Eliminate the need to rent additional warehouse",APAC,0,Not in GBS,Inventory,1,0,0,2,5,5,2,4,  ,  ,  ,  ,  ,2,4,5,4," This idea is not very disruptive as it only proposes a review of inventory holding. It is relatively easy to implement, but it may require some time to adjust to the new safety stock duration. The idea is scalable globally. The benefits are mainly quantitative, reducing inventory holding level, creating more space in the warehouse, reducing warehouse handling cost, and eliminating the need to rent additional warehouse. ",0,0
Tier Pricing Strategy,"Review of tier pricing and Minimum Order Quantity based on two different scenarios.

Please refer to the attachment for more details.","Based on scenario 1, we are able to identify opportunities to purchase a higher quantity at a lower total price by reviewing the total value of each tier pricing.

Based on scenario 2, we are able to purchase a higher MOQ where negotiation with vendor is required, to deliver the stock within two months instead of one month.",APAC,0,Not in GBS,Procurement,1,0,0,5,2,5,3,4,  ,  ,  ,  ,  ,3,3,5,4," This idea proposes a review of tier pricing and minimum order quantity, which is not very disruptive. It is relatively easy to implement, but it may require some negotiation with vendors. The idea is scalable globally. The benefits are mainly qualitative, identifying opportunities to purchase a higher quantity at a lower total price, and purchasing a higher MOQ where negotiation with the vendor is required. There are no quantitative benefits. ",0,0
Partnering with Vendors &amp; Banks for various trade finance solution to reduce cost &amp; Increase Credit term,"Option :1 Static / Dynamic discounting: 

K-C to pay suppliers early in exchange for a discount, the discount should be negotiated at higher rate than the cost of funds to K-C, resulting in cash flow benefit.

Option 2: Supply Chain Finance 

Supplier will be able to get funds before Invoice due date from bank via K-C SCF program and which in turn will help K-C to negotiate the commercial terms like payment terms and price better. Win - Win Situation for both K-C and Vendor.","Reduce cost: Potential to reduce cost by paying the supplier early in exchange for a discount on the invoice amount.

Cash Benefit Amount:  0.5 MM USD per annum for India (assuming on 15% of vendors will enroll), though not quantifiable now",APAC,0,PTP,AP-Payment Terms,1,4505182,316703,3,5,10,2,5,  ,  ,  ,  ,  ,5,2,5,5," This idea is very disruptive as it proposes two different trade finance solutions. It may be challenging to implement as it requires negotiating with vendors and banks. The idea is scalable globally. The benefits are mainly quantitative, reducing cost by paying the supplier early in exchange for a discount on the invoice amount, and potential to reduce cost by negotiating commercial terms like payment terms and price better. There is a significant quantitative benefit of 4505182 USD per annum for India. ",0,0
Supply Chain Finance (Local and Foreign),"Supply Chain Finance (&ldquo;SCF&rdquo;) solutions from Citibank Moscow for local suppliers and from Citibank Europe for foreign suppliers.

Very complicated project due to local currency legislation in respect of operations with non-resident suppliers that required a lot of efforts in order to ensure alignment and compliance.

Suppliers joining SCF program accept payment terms extension and benefit from earlier payment from Citibank after confirmation by KC the accepted for payment invoices lists.","Procurement team managed to negotiate with suppliers (2 local, 8 foreign), joining SCF program, payment terms increased by 20 - 75 days, with expected increase of payables by $3.5M based on prior year turnover.

No financial cost for KC because suppliers pay interest to Citibank (based on KC credit rating), but additional workload for Treasury and Accounts Payable teams.",EMEA,3500000,PTP,AP-Payment Terms,1,853900,286054,7,4,5,3,5,  ,  ,  ,  ,  ,3,2,5,4," This idea proposes implementing supply chain finance solutions for local and foreign suppliers. It is not very disruptive, but it may be challenging to implement due to local currency legislation. The idea is scalable globally. The benefits are mainly quantitative, increasing payment terms and payables, with an expected increase of payables by $3.5M based on prior year turnover. There is a significant quantitative benefit of 853900 USD. ",0,0
Working Capital Improvement for KCNA Trade Invoices,"Customer Finance Services receives invoices from customers, or third parties hired by or on behalf of customers for services or goods that should be expensed against a Trade event/promotion in Promax. Invoices are currently paid before the due date causing a negative impact to working capital. Average paid early in October was 33 days*. 

*While the average invoices ($1.3MM) were paid 33 days early, 15 days is used for calculation of benefits.  Paying early prevents customers from deducting.","If trade invoices were paid closer to the due date (15 days), Kimberly Clark would see a significant improvement to the working capital in the amount of $1MM annually along with a savings of $50k in cost of capital.

Standard work will be updated to reflect the new process of paying closer to the 15 day due date.",NA,50000,OTC,AR-Trade Invoices,1,2256494,298648,7,6,6,3,6,7,6,6,3,6,4,5,4,5," This idea proposes a new process of paying closer to the 15 day due date for trade invoices, which would significantly improve working capital by $1MM annually and save $50k in cost of capital. The idea is not entirely new, but it is an upgraded way of managing trade invoices. The implementation is relatively easy, and it can be replicated globally. The benefits are both quantitative and qualitative. ",1,0
UCD Recovery,"Customer (THE BOSTWICK-BRAUN CO ) was taking 2% 30 Days Net 31 - In Bank * Less Avg Freight excess cash discount on invoices. However, their payment terms were changed to Net 30 in March 2019. According to their terms, they were not due for discount, so the system sets up  excess cash discount as deductions. 

Their payment terms have been changed to Net 30 in customer's system.","Payment  term has been rectified in customer's ERP to Net 30.To prevent UCD's deductions in KC's system.

Recovery for Unearned cash discount.",APAC,12175,OTC,AR-Collections,1,0,0,2,10,1,2,4,  ,  ,  ,  ,  ,2,3,3,2," This idea proposes to recover unearned cash discounts by rectifying payment terms in the customer's ERP to Net 30. The idea is not disruptive, and the implementation is relatively easy. However, it is not replicable globally, and the benefits are only qualitative. ",0,0
Improvement in Slow Pay Gap,"KC pay premiums for medical, dental, optical, life, disability and administrative fees for it&rsquo;s employees to service providers . All these payments need to be made in a timely manner to ensure benefit coverage is not terminated for employees.

Dafco is one of our bigger customer which deals in Air Filtration products and does business across North America

The average slow pay gap of customer was 26.06 days against total AR of CAD 176K.",In order to improve the Slow pay Gap of customer.Cash flow impact to receive early payment from customer.No hassle on releasing customer&rsquo;s orders due to improved slow pay gapNon Exhausted Credit limit will ensure no credit hold.,APAC,32000,OTC,AR-Collections,1,18595358,1946580,2,2,2,2,2,  ,  ,  ,  ,  ,3,4,4,5," This idea proposes to improve the slow pay gap of a customer to receive early payment from them, ensuring no credit hold and no hassle on releasing customer's orders. The idea is not entirely new, but it is an upgraded way of managing slow pay gaps. The implementation is relatively easy, and it can be replicated globally. The benefits are both quantitative and qualitative. ",0,0
Dispute recovery in MSC,"KCP business deal in different segments like Paper Janson (Janitorial), Home Professional Business, Safety/ Scientific, Export/Partnership product, Secondary/ Miscellaneous, Onvation business. MSC is one of a key customer which deals in safety and Janitorial product and consists approx. AR of $1.5MM.",Dispute recovery to be done for aged shipping deductions.To expedite the resolution of aged line items for cash flow impact,APAC,167618,OTC,AR-Deductions,1,0,0,2,6,1,2,3,  ,  ,  ,  ,  ,1,2,2,1," This idea proposes to recover aged shipping deductions for a key customer. The idea is not disruptive, and the implementation is relatively easy. However, it is not replicable globally, and the benefits are only qualitative. ",0,0
Invent-THORy Project: LAOís MRO Powerful DIO Reduction,"Create a LAO cross-functional partnership with Operations, Procurement and Finance to focus on a powerful reduction of Maintenance, Repair and Operation Materials (MRO) that Accounts for 13% of the total inventory or 10 days of CCC.","The project has an estimated full potential of USD $3.3M equivalent to:8% reduction of the total LAO MRO Inventory1 day of CCC reduction total LAO 1.6% improvement of LAO&rsquo;s Free Cash Flow Conversion Rate

The project is replicable to other K-C region, enhancing the global potential of the proposal.",LAO,3300000,Not in GBS,Inventory,1,0,0,7,2,6,5,5,  ,  ,  ,  ,  ,4,4,5,4," This idea proposes a cross-functional partnership to reduce Maintenance, Repair and Operation Materials (MRO) inventory, which would improve LAO's Free Cash Flow Conversion Rate. The idea is disruptive, but the implementation is not easy. It can be replicated globally, and the benefits are both quantitative and qualitative. ",0,0
Reduction in Shipping Discrepancy,"ORS NASCO is one of the B2B Partner with KCP.

KCP Ships various products to them and they further supply it to the end customers. ORS NASCO took average deduction of 63K in last 3 months (July&rsquo;20 &ndash; Sep&rsquo;20) without any supporting docs nor adhering to OSD policy.

Per findings multiple vendors, Merchandise Managers &amp; warehouses were involved in receipt of the products and due to that shipping discrepancies were not getting reported properly.

Due to that deduction were high and impacting KCP&rsquo;s KPI","Shipping deductions amount to be recovered from ORS

More Frequent communication with customer to resolve aged deductions

A path forward was designed between KC and KCP to share signed BOL and Packing list with ORS.",APAC,108340.4,Not in GBS,Inventory,1,0,0,6,6,7,2,5,  ,  ,  ,  ,  ,3,3,2,3," This idea proposes to recover the shipping deductions amount from ORS by sharing signed BOL and Packing list with them. The idea is not entirely new but proposes a different and upgraded way to handle shipping discrepancies. The ease of implementation is moderate as it requires more frequent communication with the customer and adherence to OSD policy. The geographical scalability is limited as it is specific to ORS. The benefits are both quantitative and qualitative, including recovering shipping deductions and resolving aged deductions. ",0,0
Reduction in &gt;90 Days Deduction,KCP OTC team contains 12 team members that supports the US markets for activities like Collections and Dispute management. KC books accrual every month on Deductions &gt;90 days. Timely resolution of this bucket (&gt;90 days) is needed to decrease the accrual amount against the exposure. &gt;90 days are at $1.48MM in Jan&rsquo;20 which is a 17% of total exposure of deductions.,"1. Target was to reduce the exposure amount by 30% from $1.48MM to $1.03MM by end of Sep&rsquo;20

2. The lesser exposure amount is better to reduce the exposure amount further by another 30%.

3. Cash flow impact by recovering the money of invalid deductions from customer",APAC,548577.05,OTC,AR-Deductions,1,0,0,2,5,7,2,4,  ,  ,  ,  ,  ,2,3,4,4," This idea proposes to reduce the exposure amount of deductions >90 days by 30% by the end of Sep'20, which would have a positive cash flow impact by recovering the money of invalid deductions from customers. The idea is not very disruptive but requires timely resolution of the bucket of deductions >90 days. The ease of implementation is moderate as it requires timely resolution of the bucket of deductions >90 days. The geographical scalability is high as it is applicable to the US market. The benefits are both quantitative and qualitative, including reducing the exposure amount of deductions >90 days and recovering the money of invalid deductions from customers. ",0,0
Produce wipes for US in LAO,"Make wipes for US in LAO countries like Colombia, Costa Rica, El Salvador or even Nogales M&eacute;xico. This could help reducing labor costs which would help producing wipes at lower costs and sell at higher margin in the US.","The expected outcome would be:

1. Producing lower cost products that can be sold in the US.

2. Increase production volumes in LAO and take advantage of excess capacity without acquiring more machinery and equipment.",LAO,0,Not in GBS,PnL Benefit,1,0,0,5,1,1,1,2,  ,  ,  ,  ,  ,2,4,4,3," This idea proposes to produce wipes for the US market in LAO countries to reduce labor costs and increase production volumes without acquiring more machinery and equipment. The idea is not entirely new but proposes a different way to produce lower-cost products that can be sold in the US. The ease of implementation is moderate as it requires setting up production facilities in LAO countries. The geographical scalability is high as it is applicable to LAO countries. The benefits are both quantitative and qualitative, including producing lower-cost products that can be sold in the US and increasing production volumes. ",0,0
Sell unused land in Costa Rica,"Costa Rica has land in Cartago that is not using (approx. 34,000 mt2). This land is not used and could be sold to generate approx. US$1.5M",Cash for US$1.5M plus a reduction of taxes for land not used in Costa Rica.,LAO,1500000,Managed Services,PnL Benefit,1,0,0,4,2,1,1,2,  ,  ,  ,  ,  ,2,4,4,3," This idea proposes to sell unused land in Costa Rica to generate cash and reduce taxes for land not used. The idea is not entirely new but proposes a different way to generate cash and reduce taxes. The ease of implementation is moderate as it requires finding a buyer for the unused land. The geographical scalability is limited as it is specific to Costa Rica. The benefits are both quantitative and qualitative, including generating cash and reducing taxes for land not used. ",0,0
Adjust customersí order schedule to fit with customersí payment schedule,"Pls see attached file named ""Adjust customers&rsquo; order schedule to fit with customers&rsquo; payment schedule""",Estimate to reduce at least 5% (~USD200K) AR balance of Modern Trade Customers and 2% (~USD800K) AR balance of General Trade Customers each month.,APAC,1000000,OTC,AR-Collections,1,0,0,9,6,7,5,7,9,6,7,5,7,2,3,4,4," This idea proposes to adjust customers' order schedule to fit with their payment schedule to reduce AR balance. The idea is not very disruptive but proposes a different way to reduce AR balance. The ease of implementation is moderate as it requires adjusting the order schedule. The geographical scalability is high as it is applicable to both Modern Trade and General Trade customers. The benefits are both quantitative and qualitative, including reducing AR balance for both Modern Trade and General Trade customers. ",1,0
Capex project: Maintenance fee/last payment to be withheld during Warranty period instead getting Bank Guarantee from vendors.,"In current practice, KCV requests (Capex) vendor to provide a Bank Guarantee to ensure Vendor is fully responsible for any repairment (if any) occurred during warranty period of a new project.

 It is recommended, KCV will withhold the last payment (5%-10%) during warranty period instead of getting Bank Guarantee from Suppliers. It helps increase account payable balance, hence better working capital.",Estimate to increase AP balance USD300K balance for one year from the date of go-live.,APAC,300000,Managed Services,Managed Services,1,0,0,2,6,5,5,4,  ,  ,  ,  ,  ,4,3,4,3," This idea is not entirely new, but it is an upgraded way of handling warranty periods. It is not very easy to implement as it requires a change in the current practice, but it is feasible in the mid-term. It can be applied globally, so it scores high in geographical scalation. The benefits are mainly quantitative, with an estimated increase in AP balance of USD 300K for one year. ",0,0
Rationalization of Office Cost,Office Cost Rationalization across KC through Optimization/ Reengineering of Office workspace.Release of unutilized space by making algorithm of Work from home Employees and Must Require Staff in OfficeCan consider the advantage of Co-Working places instead of Sales offices where On &ndash;Ground folks are required to visit occasionallyLeverage work from home to the extent possible,Minimization of Office Cost to generate incremental free cash flows,APAC,0,Managed Services,Managed Services,1,0,0,7,2,10,2,5,  ,  ,  ,  ,  ,3,4,4,4," This idea proposes a new way of optimizing office workspace and leveraging work from home. It is not very disruptive, but it is easy to implement and can be applied globally. The benefits are mainly qualitative, with a minimization of office cost to generate incremental free cash flows. ",0,0
Small Dollar Payment Gateway,"1 stop portal for customer to access their accountSelf Service functions (eg; Statement of Account, Invoice list)Make payments directly from portalCustomer able to raise dispute via portal, if there&rsquo;s anyCollections team can shift focus to high dollar invoices",Implementation of a payment portal for customers to make payment on owed invoices along with the ability to review or extract information pertaining their account.,APAC,0,OTC,AR-Deductions,1,0,0,9,2,10,2,6,9,2,10,2,6,3,4,4,4," This idea proposes the implementation of a payment portal for customers to make payments on owed invoices. It is not very disruptive, but it is easy to implement and can be applied globally. The benefits are mainly qualitative, with the implementation of a self-service portal for customers to access their account and make payments. ",0,0
Adjusting Cash discounts/Deductions Timing,"Push cash discounts and deductions to quarter/semester or end of the year based on customer size, sales volumes and payment behavior.

Based on their payment behavior, sales volumes, customers will receive their ""bonus"" at the end of the quarter,semester or end of the year rather than on every invoices or monthly... . ","Enhance of payment behavior and control on proof of performance.

Smoother process of collection, pricing and rebates.",EMEA,0,OTC,AR-Deductions,1,0,0,3,2,3,1,2,  ,  ,  ,  ,  ,3,3,4,4," This idea proposes to push cash discounts and deductions to quarter/semester or end of the year based on customer size, sales volumes, and payment behavior. It is not very disruptive, but it is feasible in the mid-term and can be applied globally. The benefits are mainly qualitative, with an enhancement of payment behavior and control on proof of performance. ",0,0
Late payment fees,"Apply late payment fees to customers who have recurrent bad payment behavior and who have rejected direct debit for no cash available on the account.

Educate the customers to respect agreed payment terms.",Enhance better payment behavior and control over agreed payment terms.,EMEA,0,OTC,AR-Collections,1,0,0,2,5,5,2,4,  ,  ,  ,  ,  ,2,3,4,4," This idea proposes to apply late payment fees to customers who have recurrent bad payment behavior. It is not very disruptive, but it is feasible in the short-term and can be applied globally. The benefits are mainly qualitative, with an enhancement of better payment behavior and control over agreed payment terms. ",0,0
Partnering with bank for Receivable Financing,"K-C can get the its receivables accounts balances factored with bank on a limited recourse basis after submitting FLDG (First loss default guarantee) to Bank.

Benefit of this option will be the collection will be &ldquo;Non-recourse &ldquo;, will result in effective balance sheet management and enhance cash flow generation.","Lower DSO

Enhance cash flows generation",APAC,0,OTC,AR-Collections,1,0,0,2,9,7,1,5,  ,  ,  ,  ,  ,4,3,4,4," This idea is innovative and can result in effective balance sheet management and enhance cash flow generation. However, it requires a limited recourse basis and may not be feasible in the short term. It can be replicated in other geographies. ",0,0
COVID-19 Challenge,"During the first wave of COVID-19 some Benelux retailers got into problems and asked for an extended payment term. This was carefully assessed/approved, but negatively impacted the DSO/PWC.

Some retailers benefitted from the additional sales during the first wave and were making cash quick. The business came up with an inventive idea and reached out to one of those retailers asking if the payment term could be decreased with a week, in return the VBR would be paid earlier by KC (low $ value).",The retailer agreed to this proposal for a 3 month period. This inventive idea has resulted in an improvement of the DSO/PWC.,EMEA,0,OTC,AR-Collections,1,0,0,2,7,4,5,5,  ,  ,  ,  ,  ,2,2,3,3, This idea is not very disruptive and requires a careful assessment. It can be replicated in other geographies. ,0,0
Amazon Deduction Reduction,"Shortages (quantity variance claims) deep analysis identifying root causes for its generationComparison of our analysis results with customer resultsMain root cause identified from both sides, mainly pointing to the catalogue misalignmentsDue to catalogue misalignments a high amount of shortages were generated by the customerBased on the analysis, payment agreement was reached and old claims up to specific date were closed on both sides.","Reconciliation of the account closing old Shortages (2019 and before);Decrease amount of cases that leaded into an high workload for the teams involved;Agreed to take actions for prevention, catalogue update and regular checks in place.",EMEA,735000,OTC,AR-Deductions,1,0,0,3,5,4,6,4,  ,  ,  ,  ,  ,3,3,4,3, This idea involves a deep analysis and can lead to reconciliation of the account and decrease in workload. It can be replicated in other geographies. ,0,0
Flexible Payment Methods to Improve Slow Pay/Working Capital,"Ability to accept more flexible electronic payments with emailed/website obtained remits.  This would improve slow pay by one or two business days by eliminating mail float of check payments being sent to our lockbox as well as decrease bank costs associated with lockbox processing, remit data and images.  Customer relationship improvements by offering/accepting more electronic payments as this would also have cost savings for the customer by eliminating check/remit printing and postage.","Convert 400-600 customers from check to electronic payment with automated solution/cash application.  Would need Bot/AI/Third Party to handle rather than manual work.  Decrease bank costs related to lockbox processing.

Enhancements for Biller Direct to separate credit card and electronic check/ACH access as well as ability to view rebate/promotional credits.  This would allow separation of smaller accounts for self serve payment/application.

Estimated total cost savings $212,553.06.",NA,212553.06,OTC,AR-Collections,1,22258137,1494441,8,2,5,1,4,  ,  ,  ,  ,  ,3,4,4,4, This idea is innovative and can result in cost savings and customer relationship improvements. It requires a Bot/AI/Third Party to handle and can be replicated in other geographies. ,0,0
OTC - Collection of invalid claims,"Amounts collected (paid or partially paid by the customers )  from dispute recovery for IT, ES, PT,DE, AT, CH, FR, NL, BE, NO, UK, FR.Amount consist of following items: Customer to pay back, Invalid deductions and Invalid sales (meaning the claim was rejected and escalated to sales) 
$570k  positive impact already saved in FORCE during the 2020.","$800k of positive impact  in cost saving

Project that can be extended to all countries increasing the positive impact ",EMEA,800000,OTC,AR-Deductions,1,0,8606571,3,9,8,2,6,3,9,8,2,6,2,3,4,3, This idea involves collecting amounts paid or partially paid by customers and can result in cost savings. It can be replicated in other geographies. ,0,0
Cash flow savings on import VAT,"Replacing actual payment of VAT due on importation of goods into selected European countries with so called postponed accounting, i.e. disclosing VAT payable in a VAT return, which also becomes at the same time a VAT recoverable. As a result, instead of freezing money by paying VAT to customs and then reclaiming it, the import operation can be cash neutral for the VAT element. This will be implemented after Brexit.",Huge VAT payments (cash outflow) due one every import will be replaced with cash neutral operation.,EMEA,0,RTR,Taxes,1,0,0,10,2,5,1,5,  ,  ,  ,  ,  ,4,3,4,5," The idea is disruptive as it proposes a new way of handling VAT payments that can be cash neutral. The implementation may require some changes in the VAT return process, but it is feasible in the short term. The idea can be applied in selected European countries, which limits its geographical scalability. The benefits are significant, as it eliminates the need for huge VAT payments and makes the import operation cash neutral. ",0,0
Tokenization of some part of KC's shares,"Tokenization of shares is an increasingly popular way to enlarge the amount of cash in a given enterprise. The advantages of such a solution include low legal complexity, low costs, large sales market, increasing value of the cryptocurrencies, and digital assets market. When it comes to KC, the best solution would be to store a certain percentage of the company's shares into tokens and conduct an Initial Exchange Offering (IEO).","The purpose of IEO is to sell tokens via digital exchanges to private investors. The sale of a token is conducted in stages, and the price of a token is increasing during each stage. Due to the reputability of the KC brand, this IEO could get great interest among both private investors and media outlets, which could increase the value of the KC itself. It is worth mentioning that after IEO ends, buyers have the opportunity to trade those tokens and as a result increase their value even more.",EMEA,0,Not in GBS,FORCE,1,0,0,1,1, -   ,1,1,  ,  ,  ,  ,  ,5,2,5,4," The idea is highly disruptive as it proposes a new way of financing through tokenization of shares. The implementation may require some legal and technical complexity, but it is feasible in the long term. The idea can be applied globally, which makes it highly scalable. The benefits are significant, as it can increase the value of KC and generate interest among private investors and media outlets. ",0,0
Improved Cash Flow-Rebilled Invoice Due Dates," a) Whenever we re-bill any invoice, its due date also gets extended as per the new document date which delays the payment of that invoice and affects the invoice cycle time.

b) If we can modify the due date manually and keep it same as original due date, this will help us collect the payment within the actual payment term as per the original billing date.","Invoice Cycle Time does not exceeds the actual payment terms.

We will have an improved cash flow.",NA,500000,OTC,AR-Collections,1,0,0,3,10,5,2,5,  ,  ,  ,  ,  ,2,1,5,3," The idea proposes a minor change in the invoice cycle time, which is not very disruptive. The implementation is easy, but it may require some manual intervention. The idea can be applied globally, which makes it highly scalable. The benefits are moderate, as it improves the cash flow and ensures that the invoice cycle time does not exceed the actual payment terms. ",0,0
